Genome	Pas_cpn60	Pas_fusA	Pas_gltA	Pas_pyrG	Pas_recA	Pas_rplB	Pas_rpoB	ST	Scheme	clonal_complex	species	CC	Assigned IC	Corrected IC
Chr_128_12.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_134_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_136_1.fna	3	2	2	1	29	1	4	333	abaumannii#2		Acinetobacter baumannii	22	Not IC	Not IC
Chr_137_1.fna	3	2	2	1	29	1	4	333	abaumannii#2		Acinetobacter baumannii	22	Not IC	Not IC
Chr_138_4.fna	3	2	2	1	29	1	4	333	abaumannii#2		Acinetobacter baumannii	22	Not IC	Not IC
Chr_139_1.fna	3	2	2	1	29	1	4	333	abaumannii#2		Acinetobacter baumannii	22	Not IC	Not IC
Chr_140_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_14_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_144_1.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_15_1.fna	1	1	~1	1	5	1	1	new_alleles	abaumannii#2			NA	NA	NA
Chr_154_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_156_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_167_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_169_1.fna	3	48	2	2	6	4	1	new_ST	abaumannii#2			NA	NA	NA
Chr_17_1.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
Chr_176_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_180_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_18_1.fna	3	41	6	1	3	4	5	154	abaumannii#2		Acinetobacter baumannii	30	Not IC	Not IC
Chr_189_1.fna	56	3	55	2	9	1	14	625	abaumannii#2		Acinetobacter baumannii	51	Not IC	Not IC
Chr_195_1.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
Chr_197_1.fna	1	15	2	2	3	1	14	new_ST	abaumannii#2			NA	NA	NA
Chr_198_1.fna	1	15	2	2	3	1	14	new_ST	abaumannii#2			NA	NA	NA
